author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1293840523,0,1,1,1,0,202,0,0,1,0,0,0,0,0,1,4.0222
1293853015,0,1,2,2,0.784992,28,19,103,1,-244.640741,3,3.5,0.996934,4,1,3.8776
1293857524,0,1,1,1,0,84,22,189,1,-244.640613,4,7,0.995912,7,1,2.775
1294097284,1,1,1,1,0,8,7,251,1,2.775,5,8,1.36036,8,1,1.195
1294112356,0,1,1,1,0,205,79,252,1,0.174444,6,9,6.732484,9,1,0.876
1294112468,0,1,1,1,0,0,34,378,1,0.001296,7,10,772.428571,10,0,0
1294112677,0,1,1,1,0,0,19,344,1,0.002419,8,11,414.397129,11,0,0
1294112863,0,1,1,1,0,3,0,325,1,0.002153,9,12,465.516129,12,1,65.0592
1294188041,1,1,1,1,0,58,32,328,1,0.870116,10,13,2.149272,13,1,0.1446
1294188502,0,1,1,1,0,0,4,354,1,0.005336,11,14,188.418655,14,0,0
1294188634,1,1,1,1,0,1,2,0,1,0,0,15,0,0,1,408.8822
1294192125,1,2,2,4,1.566884,32,2,0,1,0,0,17.5,0,2,1,408.8417
1294200534,1,1,1,1,0,41,33,350,1,0.139259,12,20,8.180851,17,1,64.0444
1294201845,0,1,1,1,0,0,2,358,1,0.015174,13,21,66.90389,18,0,0
1294447588,0,1,1,1,0,204,0,0,1,0,0,22,0,19,1,61.185
1294468840,1,1,1,2,0.249882,17,7,280,1,1.668096,15,23.5,1.311672,21,1,60.9391
1294883067,0,1,1,1,0,3,3,438,17,-330.497095,45,410,0.996974,156,0,0
1299733974,1,3,11,32,3.886037,5182,5132,210.125,17,-39.132145,33,381.5,0.998878,55,1,19.9182
1299888878,1,2,2,2,0.309543,15,3,67,17,8.469525,2,398.5,0.529518,8,1,283.0074
1300415911,0,2,3,3,1.215875,18,4,349,17,-61.750077,4,401,1.011069,57,1,237.1797
1301454910,1,1,6,7,2.660755,19,11,-4.857143,17,35.064421,51,406,1.010564,155,1,380.6936
