author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1254244893,0,2,2,6,2.104223,288,0,0,1,0,0,2.5,0,1,0,0
1254261636,0,1,1,1,0,0,2,5,1,0.193785,1,6,6.160366,4,0,0
1254261666,0,1,1,1,0,94,19,77,1,0.194132,1,7,6.151136,5,1,0.0019
1254261833,1,1,1,1,0,0,41,152,1,0.001933,2,8,518.365269,6,0,0
1254261889,0,1,1,1,0,1,1,3,1,0.196713,1,9,6.083549,7,0,0
1254268301,0,1,1,1,0,4,14,111,1,0.074861,3,10,14.358071,8,0,0
1254268319,0,1,1,1,0,28,3,101,1,0.000208,4,11,4801,9,1,0.7625
1254334201,1,2,2,2,0.402179,20,5,111,1,0.89809,6,12.5,1.934086,2,0,0
1254531192,0,1,1,1,0,102,20,141,1,2.279988,6,14,1.438599,11,0,0
1254531642,0,2,2,2,0.999142,15,14,134.5,1,1.662031,8,15.5,97.150418,3,0,0
1254594028,0,1,1,1,0,35,17,218,1,0.72206,8,17,2.384926,13,0,0
1254594078,0,1,1,1,0,38,0,0,1,0,0,18,0,4,0,0
1254602950,0,1,1,1,0,62,18,38,1,0.102685,1,19,10.738503,5,0,0
1254687744,0,1,1,1,0,28,0,0,1,0,0,20,0,6,1,0.007
1254687998,0,1,1,1,0,3,1,96,1,4.094873,2,21,1.244208,7,0,0
1254688239,0,1,1,1,0,2,19,82,1,0.987141,2,22,2.013026,8,0,0
1254688290,0,1,1,1,0,35,31,236,1,1.090995,9,23,1.916594,14,0,0
1254688322,0,1,1,1,0,21,9,52,1,1.813426,2,24,1.551442,9,0,0
1254688347,1,1,1,1,0,3,2,28,1,0.006979,1,25,144.283582,10,0,0
1254688479,0,1,1,1,0,3,2,29,1,0.001528,2,26,655.545455,11,0,0
1254696103,0,1,1,1,0,57,6,240,1,0.090428,10,27,12.058492,15,0,0
1254697526,0,1,1,1,0,12,3,291,1,0.01647,11,28,61.716796,16,0,0
1254699847,0,2,2,3,1.370951,12,3,1,1,1.689653,2,30,0.399093,17,0,0
1254699884,0,2,2,2,1,3,3,1.5,1,0.000428,4,32.5,1752.351351,18,0,0
1254769395,0,2,2,4,2,4,4,131.75,1,0.912891,21,35.5,1.602084,14,0,0
1254769666,0,1,1,1,0,3,3,300,1,0.003137,13,38,319.819188,20,0,0
1254821293,0,2,2,5,0.780214,42,57,105.2,1,2.989537,25,41,1.099363,16,0,0
1254821468,0,1,1,1,0,1,1,3,1,0.002025,3,44,494.714286,24,0,0
1254947275,0,1,1,1,0,4,1,288,1,1.458125,15,45,1.685812,25,0,0
1263275692,0,2,2,2,0.994442,40,17,160.5,1,97.891377,19,46.5,1.007741,17,0,0
1263282623,0,3,3,4,0.782181,0,106,26.5,1,98.634259,14,49.5,1.005252,18,0,0
1263282728,0,1,1,1,0,23,50,64,1,97.933275,2,52,1.010211,29,0,0
1263282925,0,2,2,6,2.508712,160,160,30.5,1,32.75925,13,55.5,0.503388,21,0,0
1263282963,0,1,1,2,0.650022,24,24,65,1,0.00044,2,59.5,1706.263158,4,1,0.0876
1263282978,0,1,1,1,0,0,291,291,1,0.084329,17,61,12.858358,30,0,0
1263284872,0,2,3,9,2.713736,175,161,21.888889,1,0.012607,26,66,17.659562,32,0,0
1263290449,0,1,1,1,0,26,0,0,1,0,0,71,0,12,0,0
1263290480,0,1,1,1,0,34,9,30,1,0.064907,1,72,16.406562,13,0,0
1263290530,1,1,1,1,0,1,1,65,1,0.065486,1,73,16.270414,14,0,0
1263290612,0,1,1,1,0,1,0,0,1,0,0,74,0,33,0,0
1263293971,0,1,1,1,0,151,2,12,1,0.105313,1,75,10.495549,15,0,0
1263293986,0,1,1,1,0,3,2,26,1,0.040938,1,76,25.427481,16,0,0
1263294003,0,1,1,1,0,1,1,1,1,0.105683,19,77,10.462271,34,0,0
1263294019,0,1,1,1,0,0,1,65,1,0.105868,1,78,10.44572,17,0,0
1263294041,0,1,1,1,0,6,4,55,1,0.041215,2,79,25.262848,18,0,0
1263294061,0,1,1,1,0,2,2,65,1,0.040868,2,80,25.468989,19,0,0
1263294072,0,1,1,1,0,11,0,0,1,0,0,81,0,35,0,0
1263294875,0,1,1,1,0,2,1,27,1,0.010289,2,82,98.187852,20,0,0
1263294920,0,1,1,1,0,18,12,161,1,0.010984,2,83,92.043203,21,0,0
1263295514,0,2,2,3,1.166087,21,13,59.666667,1,0.013684,24,85,43.237181,37,1,21.2625
1263295892,0,1,1,1,0,6,4,38,1,0.127546,4,87,8.84029,38,0,0
1263348838,0,1,1,1,0,1,0,40,1,0.612801,5,88,2.631851,39,0,0
1263348958,0,2,2,4,1.695235,21,12,51.75,1,0.323814,11,90.5,181.78928,42,0,0
1263462068,0,1,1,1,0,64,0,0,1,0,0,93,0,0,0,0
1263952173,0,2,2,3,1.521928,9,1,76.333333,1,4.218056,6,95,0.751771,24,0,0
1265132595,1,1,1,1,0,1,1,11,1,21.262512,2,97,1.047031,43,0,0
1265162925,0,2,2,2,1,2,2,90,1,7.182188,9,98.5,2.459141,25,0,0
1265164003,0,1,1,1,0,19,1,4,1,14.02581,1,100,1.071297,3,0,0
1266400007,0,1,1,1,0,4,1,11,1,0,2,108,0,47,0,0
1266400007,0,1,1,1,0,4,1,8,1,35.313067,1,101,1.028318,45,0,0
1266403874,0,2,3,6,1.061828,260,132,65.666667,1,32.383891,39,104.5,1.020118,46,0,0
