author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1327499720,0,1.0,1.0,16.0,2.5572172662412287,2198.0,0.0,8.4375,1.0,0.0,2.0,174.5,0.0,74.0,0,0.0
1327499720,0,5.0,10.0,110.0,5.654451003319672,20100.0,0.0,0.0,1.0,0.0,0.0,54.5,0.0,26.0,0,0.0
1327499720,0,3.0,3.0,57.0,4.61799155487927,9091.0,0.0,0.3157894736842105,1.0,0.0,1.0,138.0,0.0,26.0,0,0.0
1327938881,0,1.0,1.0,2.0,0.6690158350565576,111.0,49.0,143.5,1.0,5.0828819444444475,2.0,183.5,1.1475540860868794,76.0,0,0.0
1327943342,0,1.0,1.0,1.0,0.0,11.0,7.0,89.0,1.0,0.05163194444444445,2.0,0.0,0.0,0.0,0,0.0
1328028595,0,1.0,1.0,1.0,0.0,4.0,3.0,150.0,1.0,6.121238425925926,3.0,187.0,1.1633656346017491,77.0,0,0.0
1328028595,0,1.0,2.0,2.0,1.0,8.0,6.0,72.5,1.0,6.121238425925926,2.0,185.5,1.1225242259513115,64.0,0,0.0
1328094749,0,2.0,3.0,3.0,1.521928094887362,5.0,5.0,99.33333333333331,1.0,0.7656712962962963,8.0,189.0,1.7981376787495842,66.0,0,0.0
1328094749,0,1.0,1.0,1.0,0.0,0.0,2.0,151.0,1.0,0.0,6.0,192.0,0.0,80.0,0,0.0
1328094749,0,1.0,1.0,1.0,0.0,2.0,2.0,151.0,1.0,0.0,5.0,191.0,0.0,79.0,0,0.0
1328103190,0,1.0,1.0,4.0,1.5306390622295662,0.0,16.0,41.75,1.0,5.2628790509259264,10.0,198.5,3.6238855993690033,84.0,0,0.0
1328103190,0,1.0,1.0,4.0,1.5306390622295662,0.0,16.0,34.0,1.0,5.2628790509259264,6.0,194.5,3.6238855993690033,70.0,0,0.0
1328104399,0,2.0,2.0,7.0,2.3646166428828703,2.0,806.0,135.57142857142858,1.0,6.0007986111111125,14.0,204.0,11.259094928104384,29.0,0,0.0
1328107017,0,1.0,1.0,1.0,0.0,2.0,1.0,145.0,1.0,0.030300925925925926,9.0,208.0,34.00229182582124,89.0,0,0.0
1328184053,0,1.0,1.0,3.0,1.104632864478943,1.0,278.0,138.66666666666666,1.0,3.86604938271605,14.0,210.0,1.493229556019316,92.0,0,0.0
1328195181,0,1.0,1.0,1.0,0.0,0.0,1.0,78.0,1.0,8.04931712962963,1.0,212.0,1.1242341410948995,93.0,0,0.0
1328260350,0,5.0,6.0,8.0,2.028896906148248,282.0,2.0,582.0,1.0,8.803587962962963,8.0,216.5,1.0385901912136744,1.0,1,1.3877662037037035
1328260350,0,2.0,2.0,3.0,0.9606659404269604,71.0,1.0,527.0,1.0,8.803587962962963,3.0,222.0,1.0694161418823869,32.0,1,1174.469050925926
1328263441,0,2.0,2.0,4.0,1.1556399247328533,51.0,58.0,413.25,1.0,4.437569444444447,6.0,225.5,1.0846481701888937,2.0,1,1.3519907407407408
1328263782,0,1.0,1.0,1.0,0.0,8.0,1.0,260.0,1.0,3.7604282407407417,2.0,228.0,1.2659271593500792,100.0,0,0.0
1328380253,1,1.0,1.0,4.0,1.0280667638795928,932.0,988.0,301.75,1.0,1.7881568287037035,18.0,230.5,1.2632704132825572,104.0,1,5.758981481481483
1328381268,0,1.0,1.0,1.0,0.0,0.0,4.0,936.0,1.0,0.011747685185185186,3.0,233.0,86.12315270935959,105.0,0,0.0
1328477891,0,1.0,1.0,2.0,0.28639695711595625,19.0,1.0,611.5,1.0,2.5178356481481483,4.0,6.5,1.2978748833553215,2.0,1,2360.126481481481
1328477891,0,3.0,3.0,6.0,1.3015319599977742,543.0,592.0,829.1666666666665,1.0,5.452364969135804,10.0,2.5,0.8686360348575901,1.0,0,0.0
1328486476,0,1.0,1.0,1.0,0.0,143.0,80.0,1304.0,1.0,0.09936342592592592,3.0,8.0,11.064065230052416,3.0,0,0.0
1328622553,0,1.0,1.0,1.0,0.0,106.0,21.0,932.0,1.0,2.792650462962963,4.0,234.0,1.3580827651946867,106.0,0,0.0
1328624081,0,1.0,1.0,3.0,1.3424849117899362,68.0,19.0,125.33333333333331,1.0,9.239629629629633,4.0,10.0,1.0603073740566418,6.0,0,0.0
1328695060,0,1.0,1.0,1.0,0.0,1.0,1.0,1017.0,1.0,0.8392013888888888,5.0,235.0,2.191609086019281,107.0,0,0.0
1328769495,0,1.0,1.0,1.0,0.0,187.0,46.0,1367.0,1.0,3.27568287037037,4.0,12.0,1.3052798575360665,7.0,0,0.0
1328769638,0,1.0,1.0,1.0,0.0,4.0,0.0,1508.0,1.0,0.0016550925925925926,5.0,13.0,605.1958041958042,8.0,0,0.0
1328845444,0,1.0,1.0,1.0,0.0,8.0,0.0,76.0,1.0,5.384155092592592,3.0,14.0,1.1857301624494023,0.0,0,0.0
1328849561,0,1.0,1.0,1.0,0.0,4.0,4.0,84.0,1.0,0.047650462962962964,4.0,15.0,21.986154967209128,1.0,0,0.0
1328868212,0,1.0,1.0,1.0,0.0,0.0,8.0,84.0,1.0,0.21586805555555555,5.0,236.0,5.632459385555736,108.0,0,0.0
1328877829,1,1.0,1.0,1.0,0.0,11.0,8.0,1017.0,1.0,2.1153819444444446,6.0,237.0,1.472727869605896,109.0,0,0.0
1329111189,0,1.0,1.0,9.0,2.1834014125775223,162.0,155.0,287.6666666666667,1.0,15.572199074074073,15.0,20.0,1.0186191354724148,17.0,0,0.0
1329148117,0,2.0,2.0,3.0,0.8569221891630912,38.0,0.0,753.6666666666665,1.0,6.214274691358025,13.0,26.0,1.1550545444987002,3.0,0,0.0
1329148117,0,1.0,1.0,2.0,0.20559250818508304,31.0,0.0,620.5,1.0,7.75724537037037,6.0,28.5,1.0966838051642285,4.0,1,1624.209791666667
1329408553,0,1.0,1.0,1.0,0.0,2.0,1.0,343.0,1.0,22.09297453703704,1.0,32.0,1.04526325770772,5.0,1,1258.2127083333332
1329408553,0,2.0,2.0,2.0,0.6292492238560345,10.0,9.0,927.5,1.0,12.76734375,8.0,30.5,1.16485770308278,4.0,0,0.0
1329669379,0,1.0,1.0,1.0,0.0,1.0,1.0,267.0,1.0,16.268483796296294,3.0,0.0,0.0,0.0,0,0.0
1329801012,0,2.0,2.0,5.0,1.6458543214315782,185.0,0.0,292.6,1.0,18.40099537037037,13.0,35.0,1.0408373779290288,8.0,1,491.7344328703704
1329801012,0,1.0,1.0,4.0,1.1612143449072008,105.0,0.0,109.0,1.0,21.112080439814815,5.0,39.5,1.0213637252556935,9.0,1,491.7344328703704
1329801211,0,1.0,1.0,1.0,0.0,0.0,72.0,1107.0,1.0,0.002303240740740741,9.0,42.0,435.1708542713568,4.0,0,0.0
1329802710,0,1.0,1.0,1.0,0.0,31.0,0.0,1512.0,1.0,4.5620023148148166,8.0,43.0,1.219201993114419,19.0,0,0.0
1329842373,0,1.0,1.0,1.0,0.0,1.0,1.0,29.0,1.0,20.22712962962963,3.0,238.0,1.0494385519997436,74.0,0,0.0
1330014434,0,3.0,3.0,6.0,2.3161911494978122,37.0,28.0,134.5,1.0,18.116792052469133,17.0,247.5,1.0210165273431635,34.0,1,2981.869976851852
1330014434,0,1.0,3.0,6.0,2.3161911494978122,37.0,28.0,130.0,1.0,18.65125,9.0,241.5,1.0191284194820371,80.0,0,0.0
1330130898,0,1.0,1.0,1.0,0.0,107.0,33.0,965.0,1.0,19.132025462962964,3.0,1.0,1.0522683811986278,0.0,1,0.014548611111111113
1330132155,1,1.0,1.0,1.0,0.0,6.0,1.0,1039.0,1.0,0.014548611111111113,4.0,2.0,69.73508353221958,1.0,0,0.0
