target_project,time_steps,method,cp_id,spearman_cor,js_div,defect_ratio,median_feature,maximum_feature,std_feature,n_commit
ansible,1000,odasc_aio,0,nan,nan,0,0,0,0,0
ansible,1000,odasc_aio,1,-0.411416,-0.295853,-0.237598,-0.078075,-0.183943,-0.245827,-0.031929
ansible,1000,odasc_aio,2,-0.581705,-0.327077,-0.296022,-0.419027,-0.477235,-0.401316,-0.061689
ansible,1000,odasc_aio,3,-0.402521,-0.306388,-0.015119,-0.378269,-0.360426,-0.280389,-0.375835
ansible,1000,odasc_aio,4,nan,nan,nan,0,0,0,-0.034936
ansible,1000,odasc_aio,5,-0.2435,-0.31262,-0.37075,-0.39216,-0.411775,-0.238787,-0.389369
ansible,1000,odasc_aio,6,-0.572754,-0.319419,-0.369391,-0.526262,-0.348575,-0.39229,-0.096066
ansible,1000,odasc_aio,7,-0.439413,-0.30387,-0.021565,-0.253996,-0.308738,-0.189358,-0.043574
ansible,1000,odasc_aio,8,nan,nan,nan,0,0,0,-0.034936
ansible,1000,odasc_aio,9,nan,nan,nan,0,0,0,-0.034936
ansible,1000,odasc_aio,10,-0.200991,-0.32336,-0.832707,-0.227405,-0.344922,-0.282261,-0.540339
ansible,1000,odasc_aio,11,-0.304457,-0.311218,-0.53677,-0.253222,-0.284817,-0.298601,-0.017101
ansible,1000,odasc_aio,12,-0.194194,-0.321999,-0.022924,-0.188019,-0.381593,-0.297341,-0.173317
ansible,1000,odasc_aio,13,-0.491746,-0.320763,-0.263413,-0.420026,-0.357094,-0.260129,-0.279245
ansible,1000,odasc_aio,14,-0.21384,-0.302467,-0.710424,-0.129549,-0.147606,-0.25234,-0.087428
ansible,1000,odasc_aio,15,-0.660756,-0.31966,-0.268848,-0.344152,-0.232682,-0.279201,-0.073125
ansible,1000,odasc_aio,16,-0.207745,-0.341671,-0.154224,-0.154394,-0.200328,-0.345971,-0.031229
ansible,1000,odasc_aio,17,-0.372888,-0.345137,-0.070478,-0.206267,-0.434503,-0.264519,-0.965064
ansible,1000,odasc_aio,18,-0.614026,-0.30849,-0.167293,-0.272083,-0.352639,-0.254073,-0.312607
ansible,1000,odasc_aio,19,nan,nan,nan,0,0,0,-0.034936
ansible,1000,odasc_aio,20,-0.315135,-0.317921,-0.425098,-0.293029,-0.392182,-0.279446,-0.253331
ansible,1000,odasc_aio,21,nan,nan,nan,0,0,0,-0.034936
ansible,1000,odasc_aio,22,nan,nan,nan,0,0,0,-0.034936
brackets,1000,odasc_aio,0,-0.087478,-0.302528,-0.217245,-0.114405,-0.305425,-0.175342,-0.023832
brackets,1000,odasc_aio,1,nan,nan,0,0,0,0,0
brackets,1000,odasc_aio,2,-0.258304,-0.307499,-0.094948,-0.539656,-0.399824,-0.471941,-0.050856
brackets,1000,odasc_aio,3,-0.187089,-0.302062,-0.108425,-0.398229,-0.352093,-0.510469,-0.376851
brackets,1000,odasc_aio,4,nan,nan,nan,0,0,0,-0.037084
brackets,1000,odasc_aio,5,-0.192588,-0.27993,-0.225807,-0.352502,-0.32665,-0.292533,-0.397416
brackets,1000,odasc_aio,6,-0.175091,-0.329515,-0.015564,-0.454771,-0.4818,-0.528822,-0.092542
brackets,1000,odasc_aio,7,-0.212356,-0.294297,-0.272846,-0.248433,-0.344985,-0.386978,-0.030922
brackets,1000,odasc_aio,8,nan,nan,nan,0,0,0,-0.037084
brackets,1000,odasc_aio,9,nan,nan,nan,0,0,0,-0.037084
brackets,1000,odasc_aio,10,-0.143164,-0.307489,-0.514216,-0.206269,-0.313423,-0.338107,-0.568878
brackets,1000,odasc_aio,11,-0.04578,-0.303962,-0.238804,-0.185865,-0.174876,-0.30945,-0.020751
brackets,1000,odasc_aio,12,-0.039804,-0.288897,-0.17042,-0.173921,-0.435836,-0.430908,-0.161105
brackets,1000,odasc_aio,13,-0.099521,-0.28963,-0.2002,-0.326219,-0.27345,-0.310645,-0.278333
brackets,1000,odasc_aio,14,-0.084042,-0.29569,-0.196157,-0.154347,-0.222158,-0.205693,-0.085824
brackets,1000,odasc_aio,15,-0.247156,-0.292654,-0.000739,-0.286964,-0.270371,-0.27505,-0.044991
brackets,1000,odasc_aio,16,-0.057435,-0.314649,-0.430615,-0.244038,-0.301496,-0.368922,-0.033929
brackets,1000,odasc_aio,17,-0.021523,-0.333936,-0.303843,-0.171137,-0.357758,-0.418254,-0.962916
brackets,1000,odasc_aio,18,-0.111988,-0.293297,-0.485784,-0.18727,-0.290377,-0.350184,-0.276328
brackets,1000,odasc_aio,19,nan,nan,nan,0,0,0,-0.037084
brackets,1000,odasc_aio,20,-0.031106,-0.288114,-0.224459,-0.297543,-0.307725,-0.315311,-0.258399
brackets,1000,odasc_aio,21,nan,nan,nan,0,0,0,-0.037084
brackets,1000,odasc_aio,22,nan,nan,nan,0,0,0,-0.037084
broadleaf,1000,odasc_aio,0,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,1,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,2,nan,nan,0,0,0,0,0
broadleaf,1000,odasc_aio,3,-0.111082,-0.281789,-0.410928,-0.277099,-0.313683,-0.343348,-0.271501
broadleaf,1000,odasc_aio,4,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,5,-0.281833,-0.346397,-0.758129,-0.484346,-0.361624,-0.522648,-0.50654
broadleaf,1000,odasc_aio,6,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,7,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,8,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,9,nan,nan,nan,0,0,0,-0.081671
broadleaf,1000,odasc_aio,10,-0.309246,-0.415224,-0.262684,-0.603854,-0.545347,-0.595599,-0.918329
broadleaf,1000,odasc_aio,11,nan,nan,nan,0,0,0,-0.081671
