target_project,used_project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,mcc_bst
ansible,['ansible'],15,odasc,20,0.99,0.8,0.50209,0.82788,0.36928,0.20427
ansible,['fabric'],15,odasc_aio,20,0.99,0.8,0.58694,0.53211,0.65463,0.19124
ansible,['pytorch'],15,odasc_aio,20,0.99,0.8,0.57689,0.7155,0.51538,0.24304
ansible,['rust'],15,odasc_aio,20,0.99,0.8,0.51075,0.81873,0.35571,0.20073
ansible,['homebrew'],15,odasc_aio,20,0.99,0.8,0.4998,0.83727,0.36077,0.20795
ansible,['tensorflow'],15,odasc_aio,20,0.99,0.8,0.4998,0.83727,0.36077,0.20795
ansible,['googleflutter'],15,odasc_aio,20,0.99,0.8,0.49977,0.83701,0.36087,0.20774
ansible,['vscode'],15,odasc_aio,20,0.99,0.8,0.49977,0.83701,0.36087,0.20774
ansible,['corefx'],15,odasc_aio,20,0.99,0.8,0.49944,0.83678,0.3605,0.20711
ansible,['wp-calypso'],15,odasc_aio,20,0.99,0.8,0.49942,0.83678,0.36046,0.20708
ansible,['neutron'],15,odasc_aio,20,0.99,0.8,0.47951,0.87846,0.33418,0.25139
ansible,['broadleaf'],15,odasc_aio,20,0.99,0.8,0.47942,0.83189,0.36627,0.19554
ansible,['elasticsearch'],15,odasc_aio,20,0.99,0.8,0.46883,0.90532,0.29905,0.23589
ansible,['camel'],15,odasc_aio,20,0.99,0.8,0.46429,0.87397,0.35838,0.26961
ansible,['brackets'],15,odasc_aio,20,0.99,0.8,0.46098,0.91072,0.31883,0.27672
ansible,['npm'],15,odasc_aio,20,0.99,0.8,0.43601,0.92828,0.27417,0.25253
ansible,['panda'],15,odasc_aio,20,0.99,0.8,0.42044,0.89541,0.27186,0.19505
ansible,['node'],15,odasc_aio,20,0.99,0.8,0.40448,0.94467,0.23092,0.23482
ansible,['rails'],15,odasc_aio,20,0.99,0.8,0.39417,0.93596,0.23036,0.21664
ansible,['jgroups'],15,odasc_aio,20,0.99,0.8,0.39302,0.91082,0.24805,0.20567
ansible,['nova'],15,odasc_aio,20,0.99,0.8,0.34599,0.9394,0.20847,0.19013
ansible,['tomcat'],15,odasc_aio,20,0.99,0.8,0.33885,0.96153,0.14622,0.18185
ansible,['django'],15,odasc_aio,20,0.99,0.8,0.33374,0.95914,0.15922,0.18717
ansible,['ansible'],15,oob,5,0.9,-1,0.50025,0.76128,0.42637,0.19555
ansible,['brackets'],15,oob_aio,5,0.9,-1,0.68376,0.68189,0.70193,0.38773
ansible,['rust'],15,oob_aio,5,0.9,-1,0.63176,0.64445,0.65138,0.29952
ansible,['neutron'],15,oob_aio,5,0.9,-1,0.62008,0.81504,0.50516,0.34405
ansible,['npm'],15,oob_aio,5,0.9,-1,0.60855,0.62752,0.63194,0.26748
ansible,['pytorch'],15,oob_aio,5,0.9,-1,0.60288,0.67077,0.59858,0.27967
ansible,['elasticsearch'],15,oob_aio,5,0.9,-1,0.58962,0.68829,0.57875,0.27298
ansible,['camel'],15,oob_aio,5,0.9,-1,0.5686,0.69467,0.52243,0.23112
ansible,['panda'],15,oob_aio,5,0.9,-1,0.55008,0.87414,0.38927,0.31224
ansible,['tomcat'],15,oob_aio,5,0.9,-1,0.53435,0.85779,0.37023,0.26039
ansible,['node'],15,oob_aio,5,0.9,-1,0.50755,0.79824,0.43786,0.27383
ansible,['wp-calypso'],15,oob_aio,5,0.9,-1,0.50033,0.76147,0.42636,0.19576
ansible,['corefx'],15,oob_aio,5,0.9,-1,0.50029,0.76146,0.42627,0.19565
ansible,['homebrew'],15,oob_aio,5,0.9,-1,0.50025,0.76128,0.42637,0.19555
ansible,['tensorflow'],15,oob_aio,5,0.9,-1,0.50025,0.76128,0.42637,0.19555
ansible,['vscode'],15,oob_aio,5,0.9,-1,0.50024,0.76128,0.42635,0.19554
ansible,['googleflutter'],15,oob_aio,5,0.9,-1,0.50022,0.76128,0.42631,0.19549
ansible,['fabric'],15,oob_aio,5,0.9,-1,0.46314,0.26575,0.83403,0.11984
ansible,['nova'],15,oob_aio,5,0.9,-1,0.43458,0.83882,0.3409,0.20899
ansible,['django'],15,oob_aio,5,0.9,-1,0.43191,0.90517,0.26666,0.22732
ansible,['rails'],15,oob_aio,5,0.9,-1,0.42708,0.91254,0.2873,0.24476
ansible,['broadleaf'],15,oob_aio,5,0.9,-1,0.4188,0.28062,0.85689,0.14813
ansible,['jgroups'],15,oob_aio,5,0.9,-1,0.37335,0.89105,0.23013,0.15327
ansible,['ansible'],15,pbsa,20,0.99,0,0.50486,0.81731,0.37465,0.19701
ansible,['brackets'],15,pbsa_aio,20,0.99,0,0.68247,0.79257,0.59693,0.40042
ansible,['fabric'],15,pbsa_aio,20,0.99,0,0.58905,0.59676,0.6124,0.21647
ansible,['pytorch'],15,pbsa_aio,20,0.99,0,0.58645,0.69125,0.54913,0.25154
ansible,['elasticsearch'],15,pbsa_aio,20,0.99,0,0.54537,0.79694,0.41327,0.22228
ansible,['broadleaf'],15,pbsa_aio,20,0.99,0,0.51501,0.76716,0.39898,0.16223
ansible,['corefx'],15,pbsa_aio,20,0.99,0,0.50487,0.81731,0.37466,0.19702
ansible,['wp-calypso'],15,pbsa_aio,20,0.99,0,0.50487,0.81731,0.37467,0.19703
ansible,['googleflutter'],15,pbsa_aio,20,0.99,0,0.50486,0.81731,0.37465,0.19701
ansible,['homebrew'],15,pbsa_aio,20,0.99,0,0.50486,0.81731,0.37465,0.19701
ansible,['tensorflow'],15,pbsa_aio,20,0.99,0,0.50486,0.81731,0.37465,0.19701
ansible,['vscode'],15,pbsa_aio,20,0.99,0,0.50486,0.81731,0.37465,0.19701
ansible,['npm'],15,pbsa_aio,20,0.99,0,0.50314,0.88418,0.32659,0.24592
ansible,['rust'],15,pbsa_aio,20,0.99,0,0.50103,0.79181,0.36189,0.16508
ansible,['node'],15,pbsa_aio,20,0.99,0,0.49678,0.88595,0.34718,0.27174
ansible,['neutron'],15,pbsa_aio,20,0.99,0,0.49326,0.86513,0.3911,0.28836
ansible,['camel'],15,pbsa_aio,20,0.99,0,0.47466,0.85265,0.37923,0.26575
ansible,['nova'],15,pbsa_aio,20,0.99,0,0.46038,0.92644,0.31605,0.28874
ansible,['panda'],15,pbsa_aio,20,0.99,0,0.43249,0.89567,0.29224,0.23078
ansible,['django'],15,pbsa_aio,20,0.99,0,0.41398,0.91197,0.26871,0.22522
ansible,['jgroups'],15,pbsa_aio,20,0.99,0,0.39894,0.93072,0.23802,0.22298
ansible,['rails'],15,pbsa_aio,20,0.99,0,0.39343,0.92674,0.23801,0.20929
ansible,['tomcat'],15,pbsa_aio,20,0.99,0,0.39191,0.93389,0.23087,0.21745
brackets,['brackets'],15,odasc,20,0.9,0.8,0.4232,0.85325,0.2726,0.15912
brackets,['panda'],15,odasc_aio,20,0.9,0.8,0.53076,0.78858,0.4334,0.25091
brackets,['nova'],15,odasc_aio,20,0.9,0.8,0.48973,0.63424,0.50654,0.16353
brackets,['elasticsearch'],15,odasc_aio,20,0.9,0.8,0.47263,0.29083,0.84321,0.15236
brackets,['fabric'],15,odasc_aio,20,0.9,0.8,0.47049,0.64262,0.46307,0.12282
brackets,['jgroups'],15,odasc_aio,20,0.9,0.8,0.46978,0.86756,0.29431,0.19872
brackets,['camel'],15,odasc_aio,20,0.9,0.8,0.46327,0.88348,0.28931,0.21554
brackets,['npm'],15,odasc_aio,20,0.9,0.8,0.45966,0.88165,0.25106,0.16761
brackets,['tomcat'],15,odasc_aio,20,0.9,0.8,0.45851,0.90572,0.26698,0.22385
brackets,['rust'],15,odasc_aio,20,0.9,0.8,0.45164,0.8444,0.29309,0.18344
brackets,['ansible'],15,odasc_aio,20,0.9,0.8,0.43858,0.83674,0.2967,0.16073
brackets,['django'],15,odasc_aio,20,0.9,0.8,0.43045,0.88263,0.26586,0.19375
brackets,['corefx'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['googleflutter'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['homebrew'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['tensorflow'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['vscode'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['wp-calypso'],15,odasc_aio,20,0.9,0.8,0.42207,0.85351,0.27147,0.15819
brackets,['pytorch'],15,odasc_aio,20,0.9,0.8,0.4122,0.85661,0.26148,0.15141
brackets,['broadleaf'],15,odasc_aio,20,0.9,0.8,0.40654,0.55,0.51389,0.06443
brackets,['node'],15,odasc_aio,20,0.9,0.8,0.40035,0.91968,0.20295,0.1809
brackets,['rails'],15,odasc_aio,20,0.9,0.8,0.35984,0.92728,0.16086,0.14013
brackets,['neutron'],15,odasc_aio,20,0.9,0.8,0.28412,0.96863,0.11799,0.15616
brackets,['brackets'],15,oob,20,0.9,-1,0.49305,0.80747,0.35962,0.19103
brackets,['panda'],15,oob_aio,20,0.9,-1,0.58073,0.69396,0.54733,0.26001
brackets,['neutron'],15,oob_aio,20,0.9,-1,0.57963,0.84324,0.4151,0.2877
brackets,['npm'],15,oob_aio,20,0.9,-1,0.579,0.66503,0.52014,0.19041
brackets,['tomcat'],15,oob_aio,20,0.9,-1,0.52912,0.70719,0.50039,0.23045
brackets,['node'],15,oob_aio,20,0.9,-1,0.52856,0.65142,0.55262,0.22803
brackets,['ansible'],15,oob_aio,20,0.9,-1,0.50455,0.78826,0.38239,0.18886
brackets,['corefx'],15,oob_aio,20,0.9,-1,0.49305,0.80747,0.35962,0.19103
brackets,['googleflutter'],15,oob_aio,20,0.9,-1,0.49305,0.80747,0.35962,0.19103
brackets,['homebrew'],15,oob_aio,20,0.9,-1,0.49305,0.80747,0.35962,0.19103
brackets,['tensorflow'],15,oob_aio,20,0.9,-1,0.49305,0.80747,0.35962,0.19103
