project,timestep,sim0,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,sim11,sim12,sim13,sim14,sim15,sim16,sim17,sim18,sim19,sim20,sim21,sim22,len0,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,len15,len16,len17,len18,len19,len20,len21,len22,update_period,window_size,threshold,clf_name
ansible,0,1,0.24264,0.29538,0.19887,0.23498,0.25419,0.30429,0.24235,0.2411,0.22932,0.18956,0.31533,0.28917,0.28314,0.29873,0.30385,0.33294,0.17944,0.22448,0.23491,0.20082,0.19231,0.2397,0,481,2284,10869,0,11422,3296,1424,0,0,16267,411,4947,8018,3183,1860,22,26314,7533,0,7706,0,0,5000,5000,0.3,oob_cpps
brackets,0,0.24372,1,0.42666,0.2545,0.77194,0.20386,0.4535,0.32502,0.30854,0.2887,0.2347,0.24583,0.42572,0.22584,0.433,0.23626,0.47489,0.39476,0.30055,0.30332,0.25775,0.44647,0.31087,0,0,2127,10439,0,11151,3011,1147,0,0,16115,379,4553,7608,3074,1304,0,25043,6259,0,7411,0,0,5000,5000,0.2,oob_cpps
broadleaf,0,0.30315,0.4427,1,0.38412,0.3915,0.26356,0.85179,0.44885,0.40878,0.37705,0.29775,0.30198,0.87696,0.30863,0.93274,0.32486,0.77164,0.31982,0.4584,0.39128,0.38544,0.28583,0.40476,0,0,0,2952,0,6419,0,0,0,0,11322,0,0,0,0,0,0,9394,0,0,2042,0,0,5000,5000,0.3,oob_cpps
camel,0,0.21667,0.28471,0.42687,1,0.27431,0.20668,0.40744,0.64797,0.26642,0.2515,0.39089,0.40656,0.42641,0.41872,0.41436,0.2269,0.38195,0.23843,0.29012,0.55962,0.85261,0.23262,0.26816,0,0,0,0,0,2919,0,0,0,0,6674,0,0,0,0,0,0,4805,0,0,677,0,0,5000,5000,0.5,oob_cpps
corefx,0,0.22371,0.6475,0.36512,0.24523,1,0.19207,0.37765,0.28239,0.3217,0.30024,0.23031,0.23097,0.37833,0.21225,0.38359,0.21396,0.4407,0.35353,0.24905,0.31832,0.24674,0.51431,0.32308,8595,9976,7393,17322,0,18063,10724,8610,20,0,17197,3477,9184,15918,5001,7925,431,40069,25742,0,13463,0,464,5000,5000,0.4,oob_cpps
django,0,0.28571,0.22421,0.30986,0.22722,0.21028,1,0.29627,0.22577,0.3777,0.20573,0.1939,0.28467,0.29925,0.29058,0.30322,0.77408,0.28549,0.21325,0.22816,0.21022,0.23096,0.17544,0.21404,0,0,0,0,0,0,0,0,0,0,2620,0,0,0,0,0,0,1615,0,0,0,0,0,5000,5000,0.15,oob_cpps
elasticsearch,0,0.31635,0.47965,0.77693,0.34891,0.42012,0.25509,1,0.47871,0.43495,0.39654,0.28616,0.31872,0.85062,0.32615,0.90424,0.32217,0.85928,0.28999,0.49813,0.41987,0.35956,0.30078,0.43542,0,0,1636,5955,0,7881,0,0,0,0,13914,0,961,0,58,118,0,14463,0,0,3694,0,0,5000,5000,0.5,oob_cpps
fabric,0,0.24557,0.32993,0.43215,0.51119,0.30063,0.20389,0.45719,1,0.31072,0.2913,0.43029,0.47978,0.42666,0.42632,0.44219,0.24018,0.48197,0.22211,0.31347,0.75314,0.52517,0.23415,0.30838,0,0,1839,8819,0,10152,2100,0,0,0,15752,15,3112,4071,2257,297,0,21357,2001,0,6182,0,0,5000,5000,0.2,oob_cpps
googleflutter,0,0.22934,0.28659,0.38016,0.23894,0.32175,0.32274,0.39045,0.29144,1,0.3103,0.2361,0.22829,0.37912,0.20998,0.4002,0.38977,0.46274,0.21184,0.25349,0.32161,0.24046,0.24677,0.32939,8489,9905,7348,17224,0,17989,10455,8491,0,0,17186,3456,9153,15845,4969,7884,427,39901,25470,0,13320,0,461,5000,5000,0.1,oob_cpps
homebrew,0,0.20552,0.27109,0.34639,0.21993,0.27378,0.18793,0.32391,0.27224,0.29754,1,0.22921,0.21374,0.33947,0.19869,0.3666,0.20831,0.40176,0.20281,0.22385,0.27969,0.22686,0.21893,0.27849,25692,11451,11948,29041,16379,23427,28777,12230,7033,0,17917,8250,16018,22648,7517,11532,6667,50890,47731,19653,18337,22160,17496,5000,5000,0.25,oob_cpps
jgroups,0,0.21472,0.27645,0.424,0.64173,0.25557,0.24055,0.39487,0.63035,0.26283,0.24933,1,0.37453,0.40019,0.38482,0.41142,0.22539,0.37673,0.32424,0.28249,0.52241,0.67256,0.20588,0.26116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0.5,oob_cpps
neutron,0,0.31689,0.24675,0.29385,0.34898,0.2357,0.25083,0.31062,0.47994,0.23289,0.22141,0.29076,1,0.30286,0.85764,0.30146,0.30814,0.31661,0.17902,0.23888,0.42969,0.35628,0.19279,0.23422,0,0,1839,8154,0,9522,1644,0,0,0,15457,0,2624,1900,1563,242,0,20094,1129,0,5540,0,0,5000,5000,0.2,oob_cpps
node,0,0.30579,0.46143,0.86328,0.37958,0.41425,0.25584,0.90158,0.45494,0.41523,0.38009,0.28581,0.31534,1,0.3226,0.93616,0.32658,0.78559,0.30408,0.47581,0.40954,0.38359,0.29777,0.41947,0,0,208,3332,0,6530,0,0,0,0,11516,0,0,0,0,0,0,10064,0,0,2192,0,0,5000,5000,0.2,oob_cpps
nova,0,0.30987,0.24248,0.29865,0.35616,0.23179,0.25181,0.32224,0.46403,0.22908,0.21796,0.28519,0.93333,0.31282,1,0.31248,0.31519,0.30961,0.18134,0.24639,0.41689,0.36588,0.19017,0.23037,0,0,1732,6708,0,8473,595,0,0,0,14518,0,1550,0,516,174,0,15992,0,0,4373,0,0,5000,5000,0.15,oob_cpps
npm,0,0.30993,0.4573,0.83946,0.35648,0.40287,0.25825,0.90753,0.46386,0.4212,0.38759,0.29149,0.3087,0.89854,0.31566,1,0.33244,0.8171,0.29982,0.47407,0.40264,0.36862,0.29184,0.41692,0,0,1529,5029,0,7370,0,0,0,0,12834,0,574,0,0,25,0,12417,0,0,2926,0,0,5000,5000,0.1,oob_cpps
panda,0,0.31052,0.2392,0.31421,0.20915,0.22341,0.53213,0.32302,0.24098,0.42229,0.21863,0.18393,0.30928,0.32337,0.31627,0.33265,1,0.31078,0.18827,0.24371,0.22334,0.21269,0.18449,0.22767,0,0,1297,4649,0,7299,0,0,0,0,12426,0,378,0,0,0,0,11802,0,0,2772,0,0,5000,5000,0.5,oob_cpps
pytorch,0,0.33303,0.47149,0.7235,0.32994,0.4428,0.25396,0.77646,0.47054,0.46504,0.42408,0.30531,0.31505,0.68489,0.28306,0.74336,0.30437,1,0.27991,0.40826,0.44253,0.33552,0.31224,0.45984,0,397,2252,10781,0,11359,3242,1316,0,0,16217,408,4888,7911,3171,1769,0,26118,7265,0,7597,0,0,5000,5000,0.5,oob_cpps
