target_project,used_project,wait_days,method,gmean_bst,r1_bst,r0_bst,mcc_bst
ansible,['ansible'],15,odasc,0.63653,0.6435,0.68664,0.34328
ansible,['brackets'],15,odasc,0.63183,0.67429,0.66531,0.35809
ansible,['broadleaf'],15,odasc,0.59599,0.57898,0.71832,0.32384
ansible,['camel'],15,odasc,0.62024,0.6081,0.72424,0.35746
ansible,['corefx'],15,odasc,0.63676,0.64158,0.68914,0.34393
ansible,['django'],15,odasc,0.59625,0.69196,0.61798,0.33662
ansible,['elasticsearch'],15,odasc,0.5876,0.56864,0.72468,0.32854
ansible,['fabric'],15,odasc,0.65305,0.5509,0.78318,0.35025
ansible,['googleflutter'],15,odasc,0.63649,0.64159,0.68861,0.34343
ansible,['homebrew'],15,odasc,0.63652,0.64171,0.68858,0.34352
ansible,['jgroups'],15,odasc,0.60915,0.66788,0.65251,0.34207
ansible,['neutron'],15,odasc,0.64179,0.66095,0.67914,0.35593
ansible,['node'],15,odasc,0.62783,0.69119,0.64104,0.34963
ansible,['nova'],15,odasc,0.56594,0.65778,0.5708,0.24305
ansible,['npm'],15,odasc,0.62909,0.67973,0.6585,0.35675
ansible,['panda'],15,odasc,0.60854,0.5992,0.71805,0.34287
ansible,['pytorch'],15,odasc,0.65133,0.62478,0.7105,0.34826
ansible,['rails'],15,odasc,0.62282,0.69089,0.64373,0.35265
ansible,['rust'],15,odasc,0.62261,0.62238,0.68527,0.32699
ansible,['tensorflow'],15,odasc,0.6366,0.64329,0.68698,0.34342
ansible,['tomcat'],15,odasc,0.59993,0.69452,0.62656,0.35348
ansible,['vscode'],15,odasc,0.63573,0.64242,0.68617,0.34172
ansible,['wp-calypso'],15,odasc,0.63653,0.64144,0.68874,0.34335
brackets,['ansible'],15,odasc,0.58467,0.70638,0.53503,0.25344
brackets,['brackets'],15,odasc,0.59113,0.67475,0.57782,0.26461
brackets,['broadleaf'],15,odasc,0.57037,0.64251,0.56688,0.21989
brackets,['camel'],15,odasc,0.55157,0.63116,0.57357,0.22638
brackets,['corefx'],15,odasc,0.59113,0.67475,0.57782,0.26462
brackets,['django'],15,odasc,0.57182,0.67706,0.53662,0.2281
brackets,['elasticsearch'],15,odasc,0.5793,0.56099,0.65955,0.22945
brackets,['fabric'],15,odasc,0.57158,0.64912,0.55182,0.20833
brackets,['googleflutter'],15,odasc,0.59099,0.67449,0.5778,0.26433
brackets,['homebrew'],15,odasc,0.59109,0.67466,0.57784,0.26455
brackets,['jgroups'],15,odasc,0.55097,0.69643,0.50127,0.21645
brackets,['neutron'],15,odasc,0.55349,0.69954,0.54179,0.25915
brackets,['node'],15,odasc,0.54948,0.73649,0.46385,0.21756
brackets,['nova'],15,odasc,0.51109,0.74585,0.39236,0.1503
brackets,['npm'],15,odasc,0.5804,0.70469,0.52222,0.24207
brackets,['panda'],15,odasc,0.61123,0.65888,0.60962,0.27918
brackets,['pytorch'],15,odasc,0.57185,0.67755,0.5506,0.24465
brackets,['rails'],15,odasc,0.41756,0.87828,0.22635,0.14294
brackets,['rust'],15,odasc,0.45353,0.86057,0.27995,0.18384
brackets,['tensorflow'],15,odasc,0.59099,0.67447,0.57782,0.26432
brackets,['tomcat'],15,odasc,0.57038,0.7561,0.46239,0.23477
brackets,['vscode'],15,odasc,0.59113,0.67475,0.57782,0.26461
brackets,['wp-calypso'],15,odasc,0.59101,0.67447,0.57785,0.26435
broadleaf,['ansible'],15,odasc,0.60266,0.64096,0.61576,0.25736
broadleaf,['brackets'],15,odasc,0.59127,0.63982,0.59819,0.23957
broadleaf,['broadleaf'],15,odasc,0.61397,0.60482,0.66571,0.26841
broadleaf,['camel'],15,odasc,0.65204,0.75886,0.5663,0.33625
broadleaf,['corefx'],15,odasc,0.614,0.6052,0.66538,0.26844
broadleaf,['django'],15,odasc,0.60905,0.69568,0.54532,0.24989
broadleaf,['elasticsearch'],15,odasc,0.62506,0.59938,0.69399,0.29239
broadleaf,['fabric'],15,odasc,0.62124,0.63836,0.64779,0.28423
broadleaf,['googleflutter'],15,odasc,0.61394,0.60508,0.66539,0.26834
broadleaf,['homebrew'],15,odasc,0.61403,0.60524,0.66541,0.26852
broadleaf,['jgroups'],15,odasc,0.64776,0.74545,0.57699,0.33442
broadleaf,['neutron'],15,odasc,0.62432,0.60776,0.68327,0.28913
broadleaf,['node'],15,odasc,0.62352,0.64971,0.64315,0.29237
broadleaf,['nova'],15,odasc,0.56933,0.62476,0.58705,0.21348
broadleaf,['npm'],15,odasc,0.59245,0.63477,0.60343,0.23827
broadleaf,['panda'],15,odasc,0.58876,0.54194,0.69692,0.24155
broadleaf,['pytorch'],15,odasc,0.61311,0.61522,0.65466,0.26824
broadleaf,['rails'],15,odasc,0.57679,0.8011,0.4294,0.24938
broadleaf,['rust'],15,odasc,0.56697,0.67315,0.54011,0.21999
broadleaf,['tensorflow'],15,odasc,0.61407,0.60523,0.66551,0.26862
broadleaf,['tomcat'],15,odasc,0.6329,0.69617,0.58497,0.29079
broadleaf,['vscode'],15,odasc,0.61406,0.60539,0.66534,0.26861
broadleaf,['wp-calypso'],15,odasc,0.61399,0.60509,0.66548,0.26844
camel,['ansible'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['brackets'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['broadleaf'],15,odasc,0.62633,0.57496,0.7074,0.29127
camel,['camel'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['corefx'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['django'],15,odasc,0.61876,0.7518,0.53652,0.29969
camel,['elasticsearch'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['fabric'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['googleflutter'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['homebrew'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['jgroups'],15,odasc,0.65138,0.78453,0.56443,0.36085
camel,['neutron'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['node'],15,odasc,0.63377,0.55887,0.73824,0.30611
camel,['nova'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['npm'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['panda'],15,odasc,0.63437,0.56058,0.73775,0.30736
camel,['pytorch'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['rails'],15,odasc,0.59366,0.80513,0.46166,0.2897
camel,['rust'],15,odasc,0.63443,0.56077,0.73766,0.30744
camel,['tensorflow'],15,odasc,0.63443,0.56077,0.73766,0.30744
