target_project,used_project,wait_days,method,gmean_bst,r1_bst,r0_bst,mcc_bst
ansible,['ansible'],15,odasc,0.63274,0.57642,0.73812,0.3278
ansible,['brackets'],15,odasc,0.6029,0.54889,0.72959,0.29754
ansible,['broadleaf'],15,odasc,0.58596,0.49944,0.7618,0.28531
ansible,['camel'],15,odasc,0.60708,0.52846,0.75446,0.30228
ansible,['corefx'],15,odasc,0.62595,0.57752,0.7232,0.31225
ansible,['django'],15,odasc,0.572,0.52824,0.72272,0.27851
ansible,['elasticsearch'],15,odasc,0.58167,0.47977,0.77358,0.28014
ansible,['fabric'],15,odasc,0.61415,0.4774,0.8003,0.29598
ansible,['googleflutter'],15,odasc,0.62627,0.57948,0.7209,0.31157
ansible,['homebrew'],15,odasc,0.62726,0.58163,0.71972,0.31239
ansible,['jgroups'],15,odasc,0.60475,0.54859,0.73945,0.30877
ansible,['neutron'],15,odasc,0.63091,0.59216,0.71597,0.32037
ansible,['node'],15,odasc,0.61033,0.58452,0.70412,0.30451
ansible,['nova'],15,odasc,0.58122,0.60927,0.61896,0.23723
ansible,['npm'],15,odasc,0.6305,0.61494,0.70108,0.33005
ansible,['panda'],15,odasc,0.5868,0.4922,0.77789,0.29652
ansible,['pytorch'],15,odasc,0.6343,0.56302,0.74262,0.31735
ansible,['rails'],15,odasc,0.58534,0.62246,0.60997,0.24583
ansible,['rust'],15,odasc,0.59094,0.51599,0.74633,0.28704
ansible,['tensorflow'],15,odasc,0.62682,0.57987,0.72137,0.31245
ansible,['tomcat'],15,odasc,0.58359,0.56052,0.70871,0.29795
ansible,['vscode'],15,odasc,0.62752,0.57957,0.72296,0.31387
ansible,['wp-calypso'],15,odasc,0.62353,0.57805,0.71952,0.30858
brackets,['ansible'],15,odasc,0.58774,0.70168,0.52689,0.23783
brackets,['brackets'],15,odasc,0.61059,0.66333,0.59907,0.27013
brackets,['broadleaf'],15,odasc,0.59135,0.64437,0.58646,0.2384
brackets,['camel'],15,odasc,0.59108,0.61009,0.63297,0.25818
brackets,['corefx'],15,odasc,0.61209,0.66312,0.60425,0.2756
brackets,['django'],15,odasc,0.59504,0.6066,0.62987,0.24787
brackets,['elasticsearch'],15,odasc,0.59719,0.58588,0.6525,0.248
brackets,['fabric'],15,odasc,0.60153,0.64109,0.59686,0.2434
brackets,['googleflutter'],15,odasc,0.61199,0.66232,0.60436,0.27475
brackets,['homebrew'],15,odasc,0.61083,0.66423,0.60043,0.27278
brackets,['jgroups'],15,odasc,0.60496,0.64489,0.60439,0.2587
brackets,['neutron'],15,odasc,0.58061,0.6867,0.56347,0.26024
brackets,['node'],15,odasc,0.58181,0.69618,0.53573,0.24377
brackets,['nova'],15,odasc,0.56395,0.67188,0.51922,0.20018
brackets,['npm'],15,odasc,0.60715,0.68343,0.57297,0.26648
brackets,['panda'],15,odasc,0.62827,0.62948,0.65637,0.2939
brackets,['pytorch'],15,odasc,0.59988,0.65406,0.59374,0.25782
brackets,['rails'],15,odasc,0.55609,0.75305,0.44984,0.22097
brackets,['rust'],15,odasc,0.49388,0.80144,0.34292,0.16784
brackets,['tensorflow'],15,odasc,0.61211,0.66237,0.60456,0.27501
brackets,['tomcat'],15,odasc,0.57965,0.75418,0.4779,0.24799
brackets,['vscode'],15,odasc,0.61217,0.66322,0.60431,0.27576
brackets,['wp-calypso'],15,odasc,0.61097,0.66522,0.59953,0.27283
broadleaf,['ansible'],15,odasc,0.61805,0.72025,0.56199,0.2899
broadleaf,['brackets'],15,odasc,0.62224,0.70605,0.57926,0.29163
broadleaf,['broadleaf'],15,odasc,0.62687,0.5925,0.68824,0.28217
broadleaf,['camel'],15,odasc,0.66193,0.73594,0.5998,0.34257
broadleaf,['corefx'],15,odasc,0.62042,0.57539,0.69469,0.27222
broadleaf,['django'],15,odasc,0.61376,0.72419,0.53101,0.26368
broadleaf,['elasticsearch'],15,odasc,0.63962,0.61434,0.68811,0.30261
broadleaf,['fabric'],15,odasc,0.63914,0.67132,0.63266,0.30453
broadleaf,['googleflutter'],15,odasc,0.61908,0.58371,0.68441,0.27056
broadleaf,['homebrew'],15,odasc,0.62274,0.56502,0.71176,0.28001
broadleaf,['jgroups'],15,odasc,0.64716,0.64345,0.67211,0.32525
broadleaf,['neutron'],15,odasc,0.63924,0.62557,0.67564,0.30091
broadleaf,['node'],15,odasc,0.64424,0.63966,0.67325,0.31369
broadleaf,['nova'],15,odasc,0.59792,0.59913,0.641,0.24342
broadleaf,['npm'],15,odasc,0.62421,0.66404,0.61451,0.2801
broadleaf,['panda'],15,odasc,0.6201,0.60469,0.66843,0.27559
broadleaf,['pytorch'],15,odasc,0.62978,0.59752,0.68872,0.28774
broadleaf,['rails'],15,odasc,0.61949,0.69763,0.57013,0.27638
broadleaf,['rust'],15,odasc,0.53975,0.78029,0.42061,0.22546
broadleaf,['tensorflow'],15,odasc,0.62118,0.56224,0.71232,0.27805
broadleaf,['tomcat'],15,odasc,0.65467,0.70875,0.613,0.32863
broadleaf,['vscode'],15,odasc,0.62146,0.5697,0.70332,0.27567
broadleaf,['wp-calypso'],15,odasc,0.626,0.57882,0.70123,0.28212
camel,['ansible'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['brackets'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['broadleaf'],15,odasc,0.6575,0.61302,0.7196,0.33862
camel,['camel'],15,odasc,0.65671,0.58612,0.74729,0.34056
camel,['corefx'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['django'],15,odasc,0.62673,0.6345,0.66667,0.31501
camel,['elasticsearch'],15,odasc,0.65993,0.59613,0.74224,0.34485
camel,['fabric'],15,odasc,0.65626,0.592,0.73973,0.33854
camel,['googleflutter'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['homebrew'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['jgroups'],15,odasc,0.67466,0.74401,0.63162,0.38328
camel,['neutron'],15,odasc,0.65699,0.59051,0.74275,0.3401
camel,['node'],15,odasc,0.66415,0.62881,0.7152,0.34906
camel,['nova'],15,odasc,0.65215,0.5807,0.74549,0.33416
camel,['npm'],15,odasc,0.66344,0.61647,0.72671,0.34858
camel,['panda'],15,odasc,0.65515,0.58621,0.74392,0.3371
camel,['pytorch'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['rails'],15,odasc,0.62098,0.74543,0.55209,0.31626
camel,['rust'],15,odasc,0.65725,0.60064,0.73215,0.33914
camel,['tensorflow'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['tomcat'],15,odasc,0.68472,0.72968,0.65321,0.38948
camel,['vscode'],15,odasc,0.65689,0.59087,0.7422,0.33991
camel,['wp-calypso'],15,odasc,0.65689,0.59087,0.7422,0.33991
corefx,['ansible'],15,odasc,0.50662,0.30527,0.90579,0.27064
corefx,['brackets'],15,odasc,0.54734,0.38499,0.85355,0.2915
corefx,['broadleaf'],15,odasc,0.56562,0.3839,0.89457,0.33735
corefx,['camel'],15,odasc,0.5769,0.4228,0.85472,0.32233
corefx,['corefx'],15,odasc,0.46087,0.23914,0.93504,0.24716
corefx,['django'],15,odasc,0.53801,0.4019,0.81097,0.25575
corefx,['elasticsearch'],15,odasc,0.61794,0.54365,0.74123,0.30214
corefx,['fabric'],15,odasc,0.51461,0.32149,0.90285,0.2908
corefx,['googleflutter'],15,odasc,0.40627,0.18383,0.95808,0.22468
corefx,['homebrew'],15,odasc,0.44948,0.22872,0.93596,0.2373
corefx,['jgroups'],15,odasc,0.53173,0.34053,0.8954,0.30026
corefx,['neutron'],15,odasc,0.56298,0.42053,0.80465,0.25421
corefx,['node'],15,odasc,0.5595,0.41814,0.79295,0.24001
corefx,['nova'],15,odasc,0.50862,0.33232,0.87296,0.25898
corefx,['npm'],15,odasc,0.54366,0.35352,0.90087,0.31844
corefx,['panda'],15,odasc,0.50061,0.31169,0.88436,0.25729
