project,clf,ave_r1,ave_r0,ave_gmean,ave_mcc
ansible,odasc,0.628551,0.6788105,0.6407165,0.3156275
brackets,odasc,0.6532,0.6170835,0.6163865,0.2777925
broadleaf,odasc,0.5586385,0.71453,0.6201705,0.278216
camel,odasc,0.5844835,0.76123,0.662703,0.3546385
corefx,odasc,0.2422645,0.942253,0.471964,0.2609405
django,odasc,0.613734,0.7940025,0.6909865,0.41813
elasticsearch,odasc,0.65165,0.752288,0.689235,0.411632
fabric,odasc,0.600525,0.732796,0.6572825,0.3385445
googleflutter,odasc,0.032273,0.993456,0.1604265,0.079999
homebrew,odasc,0.2583095,0.9304215,0.47481,0.2668405
jgroups,odasc,0.449998,0.7317505,0.5531265,0.1918485
neutron,odasc,0.4871045,0.735719,0.587052,0.236025
node,odasc,0.5077635,0.798994,0.630261,0.323686
nova,odasc,0.510629,0.746465,0.5869445,0.272714
npm,odasc,0.369551,0.7784265,0.5278155,0.1662655
panda,odasc,0.579969,0.748692,0.6481705,0.3387215
pytorch,odasc,0.6667205,0.694395,0.671925,0.3647405
rails,odasc,0.3430855,0.874242,0.536535,0.263337
rust,odasc,0.1438955,0.963439,0.32961,0.191181
tensorflow,odasc,0.6841015,0.7112515,0.6954555,0.3973705
tomcat,odasc,0.591572,0.671515,0.6181725,0.267883
vscode,odasc,0.2565615,0.9526655,0.485695,0.299131
wp-calypso,odasc,0.6037905,0.743846,0.660883,0.352524
ansible,odasc_aio,0.6890655,0.610736,0.6340095,0.3110765
brackets,odasc_aio,0.670378,0.585212,0.608623,0.265283
broadleaf,odasc_aio,0.876102,0.381028,0.569456,0.300326
camel,odasc_aio,0.6396425,0.671792,0.6405625,0.3208845
corefx,odasc_aio,0.6002645,0.6725015,0.628077,0.278415
django,odasc_aio,0.751754,0.6361735,0.682925,0.397313
elasticsearch,odasc_aio,0.8756615,0.4247035,0.5915075,0.347176
fabric,odasc_aio,0.8589265,0.4797855,0.6340315,0.3672165
googleflutter,odasc_aio,0.5715015,0.626603,0.588565,0.1867015
homebrew,odasc_aio,0.1975185,0.959466,0.4251645,0.2542265
jgroups,odasc_aio,0.429059,0.7680545,0.55806,0.2085725
neutron,odasc_aio,0.75574,0.646032,0.694297,0.406608
node,odasc_aio,0.583618,0.722374,0.6391685,0.316288
nova,odasc_aio,0.7511065,0.5592185,0.638272,0.3229075
npm,odasc_aio,0.661382,0.6094895,0.6284585,0.27453
panda,odasc_aio,0.7932895,0.515341,0.630856,0.32453
pytorch,odasc_aio,0.8139975,0.5360945,0.6550045,0.369201
