project,ansible,brackets,broadleaf,camel,corefx,django,elasticsearch,fabric,googleflutter,homebrew,jgroups,neutron,node,nova,npm,panda,pytorch,rails,rust,tensorflow,tomcat,vscode,wp-calypso
ansible,42208.0,11477.0,12034.0,29860.0,26191.0,25662.0,45215.0,12282.0,17562.0,55550.0,17947.0,8347.0,26432.0,22872.0,7544.0,18991.0,27190.0,56049.0,68344.0,64135.0,18559.0,51459.0,34327.0
brackets,26891.0,11477.0,12017.0,29860.0,17349.0,23678.0,29697.0,12282.0,7507.0,6028.0,17947.0,8338.0,17081.0,22825.0,7544.0,11964.0,7835.0,51446.0,49502.0,22594.0,18559.0,25111.0,19260.0
broadleaf,27161.0,11477.0,12034.0,29860.0,17494.0,23707.0,29946.0,12282.0,7642.0,7154.0,17947.0,8346.0,17248.0,22841.0,7544.0,12056.0,8024.0,51559.0,49814.0,23197.0,18559.0,25657.0,19566.0
camel,26882.0,11475.0,12017.0,29860.0,17343.0,23676.0,29696.0,12282.0,7504.0,6025.0,17947.0,8338.0,17079.0,22825.0,7544.0,11962.0,7835.0,51446.0,49496.0,22593.0,18559.0,25102.0,19252.0
corefx,39918.0,11477.0,12034.0,29860.0,26191.0,25662.0,40731.0,12282.0,14264.0,55550.0,17947.0,8347.0,24061.0,22872.0,7544.0,16074.0,20835.0,56049.0,68344.0,63396.0,18559.0,51459.0,30258.0
django,39503.0,11477.0,12034.0,29860.0,25818.0,25662.0,40149.0,12282.0,13780.0,55550.0,17947.0,8347.0,23846.0,22872.0,7544.0,15798.0,19970.0,56049.0,67474.0,61130.0,18559.0,50299.0,29813.0
elasticsearch,42208.0,11477.0,12034.0,29860.0,26191.0,25662.0,45223.0,12282.0,17563.0,55550.0,17947.0,8347.0,26432.0,22872.0,7544.0,18991.0,27195.0,56049.0,68344.0,64135.0,18559.0,51459.0,34327.0
fabric,26854.0,11475.0,12016.0,29847.0,17330.0,23668.0,29681.0,12282.0,7492.0,5903.0,17947.0,8336.0,17048.0,22823.0,7544.0,11946.0,7826.0,51439.0,49447.0,22529.0,18554.0,25005.0,19212.0
googleflutter,42208.0,11477.0,12034.0,29860.0,26191.0,25662.0,45223.0,12282.0,17564.0,55550.0,17947.0,8347.0,26432.0,22872.0,7544.0,18991.0,27195.0,56049.0,68344.0,64135.0,18559.0,51459.0,34327.0
homebrew,39481.0,11477.0,12034.0,29860.0,25793.0,25657.0,40106.0,12282.0,13722.0,55550.0,17947.0,8347.0,23830.0,22872.0,7544.0,15787.0,19863.0,56044.0,67361.0,60948.0,18559.0,50169.0,29768.0
jgroups,26830.0,11475.0,12016.0,29844.0,17316.0,23662.0,29657.0,12281.0,7480.0,5841.0,17947.0,8336.0,17039.0,22822.0,7544.0,11942.0,7806.0,51434.0,49421.0,22480.0,18548.0,24983.0,19176.0
neutron,27187.0,11477.0,12034.0,29860.0,17511.0,23716.0,29975.0,12282.0,7656.0,7283.0,17947.0,8347.0,17272.0,22845.0,7544.0,12069.0,8050.0,51574.0,49874.0,23284.0,18559.0,25675.0,19592.0
node,42207.0,11477.0,12034.0,29860.0,26191.0,25662.0,45215.0,12282.0,17557.0,55550.0,17947.0,8347.0,26432.0,22872.0,7544.0,18991.0,27182.0,56049.0,68344.0,64135.0,18559.0,51459.0,34327.0
