project,ansible,brackets,broadleaf,camel,corefx,django,elasticsearch,fabric,googleflutter,homebrew,jgroups,neutron,node,nova,npm,panda,pytorch,rails,rust,tensorflow,tomcat,vscode,wp-calypso
ansible,5000.0,6654.0,5624.0,15004.0,0.0,15491.0,6295.0,4885.0,0.0,0.0,16896.0,2037.0,8245.0,13273.0,4205.0,6154.0,311.0,35156.0,19257.0,0.0,11272.0,0.0,0.0
brackets,3498.0,5000.0,4761.0,13838.0,0.0,14356.0,4926.0,3648.0,0.0,0.0,16768.0,1390.0,7660.0,11747.0,4016.0,5277.0,230.0,33239.0,16003.0,0.0,10085.0,0.0,0.0
broadleaf,3743.0,5266.0,5000.0,14055.0,0.0,14533.0,5153.0,3766.0,0.0,0.0,16779.0,1479.0,7768.0,11981.0,4056.0,5452.0,239.0,33458.0,16505.0,0.0,10249.0,0.0,0.0
camel,0.0,0.0,1517.0,5000.0,0.0,7365.0,0.0,0.0,0.0,0.0,12772.0,0.0,544.0,0.0,0.0,25.0,0.0,12347.0,0.0,0.0,2923.0,0.0,0.0
corefx,15525.0,10951.0,9698.0,22381.0,5000.0,20961.0,18833.0,11574.0,2797.0,0.0,17561.0,6059.0,11629.0,19134.0,6475.0,9461.0,959.0,46135.0,35931.0,1729.0,16585.0,3156.0,4068.0
django,0.0,0.0,0.0,1913.0,0.0,5000.0,0.0,0.0,0.0,0.0,10404.0,0.0,0.0,0.0,0.0,0.0,0.0,7662.0,0.0,0.0,1638.0,0.0,0.0
elasticsearch,3546.0,5060.0,4797.0,13926.0,0.0,14428.0,5000.0,3662.0,0.0,0.0,16770.0,1413.0,7696.0,11808.0,4023.0,5301.0,234.0,33294.0,16125.0,0.0,10129.0,0.0,0.0
fabric,5073.0,6777.0,5651.0,15052.0,0.0,15534.0,6373.0,5000.0,0.0,0.0,16906.0,2062.0,8275.0,13331.0,4229.0,6200.0,321.0,35265.0,19347.0,0.0,11294.0,0.0,0.0
googleflutter,21037.0,11173.0,11037.0,26009.0,10637.0,22422.0,24591.0,12108.0,5000.0,0.0,17812.0,7548.0,13737.0,21378.0,6986.0,10483.0,2590.0,48568.0,42459.0,11311.0,17634.0,12941.0,11251.0
homebrew,26611.0,11467.0,12003.0,29727.0,17083.0,23619.0,29388.0,12279.0,7368.0,5000.0,17942.0,8331.0,16831.0,22810.0,7537.0,11829.0,7630.0,51299.0,49071.0,21926.0,18461.0,24370.0,18802.0
jgroups,0.0,0.0,0.0,0.0,0.0,2209.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.0,0.0,0.0,229.0,0.0,0.0
neutron,12351.0,10744.0,8555.0,20451.0,2182.0,19932.0,15024.0,10447.0,847.0,0.0,17384.0,5000.0,10461.0,17909.0,5975.0,8728.0,631.0,43598.0,32652.0,0.0,15253.0,0.0,560.0
node,1.0,567.0,2306.0,10919.0,0.0,11481.0,3356.0,1574.0,0.0,0.0,16297.0,412.0,5000.0,8132.0,3192.0,1957.0,37.0,26442.0,7750.0,0.0,7756.0,0.0,0.0
nova,0.0,0.0,1909.0,9250.0,0.0,10463.0,2357.0,396.0,0.0,0.0,15782.0,59.0,3250.0,5000.0,2454.0,427.0,0.0,22705.0,2940.0,0.0,6411.0,0.0,0.0
npm,8586.0,9974.0,7391.0,17304.0,0.0,18062.0,10694.0,8589.0,19.0,0.0,17197.0,3477.0,9181.0,15912.0,5000.0,7920.0,431.0,40060.0,25721.0,0.0,13463.0,0.0,464.0
panda,3164.0,4441.0,4412.0,13613.0,0.0,14092.0,4765.0,3540.0,0.0,0.0,16752.0,1267.0,7483.0,11490.0,3967.0,5000.0,204.0,32651.0,15048.0,0.0,9879.0,0.0,0.0
pytorch,23569.0,11389.0,11581.0,28088.0,14772.0,23081.0,27375.0,12208.0,6528.0,0.0,17888.0,8002.0,15208.0,22144.0,7338.0,11217.0,5000.0,49754.0,45497.0,16588.0,18090.0,18752.0,15252.0
rails,0.0,0.0,0.0,370.0,0.0,3282.0,0.0,0.0,0.0,0.0,7162.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,920.0,0.0,0.0
rust,0.0,0.0,1956.0,9925.0,0.0,10833.0,2756.0,773.0,0.0,0.0,15941.0,347.0,3956.0,7164.0,2749.0,841.0,0.0,24031.0,5000.0,0.0,6991.0,0.0,0.0
tensorflow,17848.0,11028.0,10367.0,24166.0,7389.0,21563.0,21567.0,11816.0,3909.0,0.0,17658.0,6753.0,12510.0,20333.0,6767.0,9875.0,1161.0,47240.0,38707.0,5000.0,17076.0,7237.0,7661.0
tomcat,0.0,0.0,1839.0,7688.0,0.0,8804.0,1268.0,0.0,0.0,0.0,15088.0,0.0,2057.0,1100.0,1169.0,206.0,0.0,18540.0,710.0,0.0,5000.0,0.0,0.0
vscode,16788.0,10982.0,10090.0,23469.0,6394.0,21272.0,20215.0,11688.0,3470.0,0.0,17597.0,6447.0,12088.0,19723.0,6601.0,9699.0,1080.0,46743.0,37518.0,3232.0,16881.0,5000.0,6041.0
wp-calypso,16029.0,10956.0,9855.0,22782.0,5552.0,21069.0,19437.0,11621.0,3080.0,0.0,17572.0,6250.0,11769.0,19335.0,6529.0,9537.0,1019.0,46352.0,36660.0,2371.0,16691.0,3808.0,5000.0
