target_project,used_project,wait_days,method,gmean_bst,r1_bst,r0_bst,mcc_bst
vscode,['vscode'],15,pbsa,0.56675,0.39394,0.84685,0.28605
fabric,['fabric'],15,pbsa,0.55917,0.40139,0.80435,0.22487
camel,['camel'],15,pbsa,0.61864,0.51808,0.75909,0.28972
googleflutter,['googleflutter'],15,pbsa,0.00000,0.00000,0.99778,-0.02441
broadleaf,['broadleaf'],15,pbsa,0.58550,0.46652,0.78007,0.25529
tomcat,['tomcat'],15,pbsa,0.51439,0.36385,0.79802,0.18116
ansible,['ansible'],15,oob,0.60255,0.52638,0.76706,0.32101
corefx,['corefx'],15,pbsa,0.58760,0.39997,0.89128,0.33455
ansible,['ansible'],15,pbsa,0.63859,0.61689,0.71939,0.35207
npm,['npm'],15,pbsa,0.49506,0.32224,0.80335,0.14654
googleflutter,['googleflutter'],15,oob,0.07102,0.01659,0.98575,-0.03787
homebrew,['homebrew'],15,pbsa,0.36618,0.22304,0.86453,0.12153
brackets,['brackets'],15,pbsa,0.60246,0.64177,0.61376,0.26822
tensorflow,['tensorflow'],15,pbsa,0.62895,0.53387,0.75807,0.30288
panda,['panda'],15,pbsa,0.58792,0.48478,0.75599,0.25345
neutron,['neutron'],15,pbsa,0.54059,0.37600,0.81834,0.21970
wp-calypso,['wp-calypso'],15,odasc,0.51703,0.44757,0.69666,0.13798
panda,['panda'],15,odasc,0.65632,0.64180,0.68907,0.33433
camel,['ansible'],15,pbsa,0.61864,0.51808,0.75909,0.28972
wp-calypso,['wp-calypso'],15,pbsa,0.50979,0.39747,0.76174,0.16529
wp-calypso,['wp-calypso'],15,oob,0.50473,0.38355,0.76565,0.15662
googleflutter,['googleflutter'],15,odasc,0.12547,0.03652,0.99051,0.02654
homebrew,['homebrew'],15,oob,0.34824,0.20531,0.86540,0.10901
fabric,['ansible'],15,pbsa,0.58123,0.49316,0.73814,0.24539
broadleaf,['ansible'],15,pbsa,0.59938,0.54713,0.71041,0.25989
tomcat,['ansible'],15,pbsa,0.51439,0.36385,0.79802,0.18116
pytorch,['pytorch'],15,pbsa,0.56369,0.42445,0.81154,0.24762
neutron,['neutron'],15,oob,0.52422,0.35387,0.82776,0.20924
fabric,['fabric'],15,oob,0.56772,0.41393,0.80334,0.23578
rust,['rust'],15,oob,0.60573,0.48362,0.83418,0.35622
rails,['rails'],15,odasc,0.49060,0.38356,0.75850,0.17309
nova,['nova'],15,pbsa,0.62578,0.58860,0.70165,0.30039
vscode,['ansible'],15,pbsa,0.61830,0.60304,0.74848,0.38599
pytorch,['pytorch'],15,oob,0.52463,0.33784,0.87552,0.24427
brackets,['brackets'],15,odasc,0.59113,0.67475,0.57782,0.26461
corefx,['corefx'],15,odasc,0.41580,0.20479,0.92905,0.20342
camel,['brackets'],15,pbsa,0.61864,0.51808,0.75909,0.28972
neutron,['neutron'],15,odasc,0.57998,0.45803,0.77012,0.24651
ansible,['brackets'],15,oob,0.61269,0.49031,0.82316,0.34946
broadleaf,['broadleaf'],15,oob,0.58197,0.45933,0.78522,0.25342
tomcat,['brackets'],15,pbsa,0.51439,0.36385,0.79802,0.18116
npm,['ansible'],15,pbsa,0.49326,0.34747,0.76148,0.12491
corefx,['corefx'],15,oob,0.29815,0.11808,0.96307,0.15595
brackets,['brackets'],15,oob,0.58259,0.55930,0.68529,0.26570
broadleaf,['brackets'],15,pbsa,0.58956,0.49171,0.75543,0.25181
vscode,['vscode'],15,odasc,0.56407,0.41043,0.83150,0.28883
tensorflow,['tensorflow'],15,odasc,0.65189,0.62028,0.69981,0.32367
fabric,['brackets'],15,pbsa,0.52181,0.35450,0.82770,0.20993
homebrew,['homebrew'],15,odasc,0.35597,0.21254,0.86888,0.12179
node,['node'],15,pbsa,0.56090,0.39266,0.81267,0.22918
brackets,['ansible'],15,pbsa,0.59349,0.63846,0.60003,0.25133
rust,['rust'],15,odasc,0.62621,0.53365,0.80716,0.36905
pytorch,['pytorch'],15,odasc,0.59237,0.48229,0.77654,0.26481
panda,['ansible'],15,pbsa,0.65958,0.60407,0.74850,0.36103
jgroups,['jgroups'],15,pbsa,0.47859,0.36074,0.76627,0.13283
ansible,['brackets'],15,pbsa,0.66980,0.59449,0.78056,0.39391
camel,['broadleaf'],15,pbsa,0.61919,0.53907,0.73415,0.28378
rails,['rails'],15,pbsa,0.48516,0.32870,0.80200,0.16124
